School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
013914,CAREER ACADEMY OF BEAUTY,12471 VALLEY VIEW ST,GARDEN GROVE,CA,92845,,,
021252,SCHOOL OF NURSING BEEBE MEDICAL CENTER,424 SAVANN/AH ROAD,LEWES,DE,19958,,,
014760,CIRCLE IN THE SQUARE THEATRE SCHOOL,1633 BROADWAY,NEW YORK,NY,10019,,,
014295,MICHIGAN COLLEGE OF BEAUTY,3498 ROCHESTER ROAD,TROY,MI,48083,,,
014890,MADISON-ONEIDA BOCES PRAC NRS,4937 SPRING ROAD  PO BOX 168,VERON/A,NY,13478,,,
013879,FORMATIONS INSTITUTE,3905 SOUTH LA MESA DRIVE,ENID,OK,73703,,,
014765,YORK TECHNICAL INSTITUTE,1405 WILLIAMS ROAD,YORK,PA,17402,,,
013637,BRIDGES BEAUTY COLLEGE,16515 MOJAVE DRIVE,VICTORVILLE,CA,92395,,,
001321,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,1156 HIGH STREET,SANTA CRUZ,CA,95064,,,
001807,INDIANA STATE UNIVERSITY,OFFICE OF THE PRESIDENT,TERRE HAUTE,IN,47809,,,
002454,UNIVERSITY OF CENTRAL MISSOURI,202 ADMINISTRATION BUILDING,WARRENSBURG,MO,64093,,,
003686,GODDARD COLLEGE,123 PITKIN ROAD,PLAINFIELD,VT,5667,,,
004024,GEORGIA NORTHWESTERN TECHNICAL COLLEGE,ONE MAURICE CULBERSON DRIVE,ROME,GA,30161,,,
006445,POMEROY COLLEGE OF NURSING AT CROUSE,736 IRVING AVENUE,SYRACUSE,NY,13210,,,
007892,SAMPSON COMMUNITY COLLEGE,P O DRAWER 318,CLINTON,NC,28328,,,
014673,INSTITUTE FOR BUSINESS & TECHNOLOGY,2400 WALSH AVENUE,SANTA CLARA,CA,95051,,,
E00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,6249 SUNRISE BOULEVARD,CITRUS HEIGHTS,CA,95610,,,
E01378,INSTITUTE FOR BUSINESS & TECHNOLOGY - LA,5819 NORTHWEST LOOP 410,SAN ANTONIO,TX,78230,,,
021287,CENTRAL SCHOOL OF PRACTICAL NURSING,1330 NORTH MILITARY HIGHWAY,NORFOLK,VA,23502,,,
014895,TRIANGLE TECH,222 EAST PITTSBURGH ST SUITE A,GREENSBURG,PA,15601,,,
001322,UNIVERSITY OF REDLANDS,1200 E COLTON AVENUE,REDLANDS,CA,92373,,,
003915,UNIVERSITY OF WISCONSIN-STOUT,BOWMAN HALL-FIN/ANCIAL AID OFC,MENOMONIE,WI,54751,,,
004025,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY,1100 LIBERTY STREET,KNOXVILLE,TN,37919,,,
