School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
005028,INTER AMERICAN UNIVERSITY OF PR- BAYAMON,500 JOHN WILL HARRIS STREET,BAYAMON,PR,957,,,
016176,LINCOLN COLLEGE OF TECHNOLOGY - LINCOLN,901 HADLEY ROAD,SOUTH PLAINFIELD,NJ,7080,,,
009994,PASSAIC COUNTY COMMUNITY COLLEGE,ONE COLLEGE BLVD,PATERSON,NJ,7505,,,
030104,CRESCENT CITY SCH GAMING & BARTENDG,209 N BROAD STREET,NEW ORLEANS,LA,70119,,,
E01223,VIRGINIA COLLEGE - BILOXI,920 CEDAR LAKE ROAD,BILOXI,MS,39532,,,
002955,PFEIFFER UNIVERSITY,48380 US 502 HIGHWAY NORTH,MISENHEIMER,NC,28109,,,
003961,HARPER COLLEGE,1200 WEST ALGONQUIN ROAD,PALATINE,IL,60067,,,
E01255,LINCOLN COLLEGE OF TECHNOLOGY - LINCOLN,15-30 PETRACCA PLACE,WHITESTONE,NY,11357,,,
E01751,VIRGINIA COLLEGE - CHARLESTON,6185 RIVERS AVENUE,NORTH CHARLESTON,SC,29406,,,
E01901,VIRGINIA COLLEGE - ECOTECH INSTITUTE - A,1400 SOUTH ABILENE STREET,AURORA,CO,80012,,,
030107,PAUL MITCHELL THE SCHOOL ROANOKE,658 BRANDON AVENUE SOUTHWEST,ROANOKE,VA,24015,,,
030113,"CALIF STATE UNIV, SAN MARCOS",333 S TWIN OAKS VALLEY ROAD,SAN MARCOS,CA,92096,,,
030115,FORTIS INSTITUTE - FORTY FORT,166 SLOCUM STREET,FORTY FORT,PA,18704,,,
001191,DIABLO VALLEY COLLEGE,321 GOLF CLUB ROAD,PLEASANT HILL,CA,94523,,,
001368,TRINIDAD STATE JR COLLEGE,600 PROSPECT STREET,TRINIDAD,CO,81082,,,
002407,HINDS COMMUNITY COLLEGE,505 EAST MAIN STREET,RAYMOND,MS,39154,,,
003163,NORTHWESTERN OKLAHOMA STATE UNIV,709 OKLAHOMA BOULEVARD,ALVA,OK,73717,,,
003621,ST. EDWARD'S UNIVERSITY,3001 SOUTH CONGRESS AVENUE,AUSTIN,TX,78704,,,
005029,INTER AMERICAN UNIVERSITY OF PR-PONCE,104 TURPO INDUSTRIAL PARK ROAD 1,PONCE,PR,715,,,
030118,UCAS UNIV OF COSMETOLOGY ARTS & SCIENCE,910 SOUTHEAST MILITARY DRIVE,SAN ANTONIO,TX,78214,,,
030149,PLATT COLLEGE,3100 S PARKER RD  STE 200,AURORA,CO,80014,,,
030153,EHOVE CAREER CENTER,316 WEST MASON ROAD,MILAN,OH,44846,,,
014752,BENE'S CAREER ACADEMY,7027 US HIGHWAY 19,NEW PORT RICHEY,FL,34652,,,
030198,PCI HEALTH TRAINING CENTER,8101 JOHN W CARPENTER FRWY,DALLAS,TX,75247,,,
001192,CUESTA COLLEGE,HIGHWAY 1,SAN LUIS OBISPO,CA,93403,,,
001847,BUENA VISTA UNIVERSITY,610 WEST FOURTH STREET,STORM LAKE,IA,50588,,,
002318,SPRING ARBOR UNIVERSITY,106 E MAIN STREET,SPRING ARBOR,MI,49283,,,
002500,COLLEGE OF THE OZARKS,**,POINT LOOKOUT,MO,65726,,,
002879,SULLIVAN COUNTY COMMUNITY COLLEGE,1000 LEROY ROAD,LOCH SHELDRAKE,NY,12759,,,
003728,OLD DOMINION UNIVERSITY,5200 HAMPTON BOULEVARD,NORFOLK,VA,23529,,,
006810,LEHIGH CARBON COMMUNITY COLLEGE,4525 EDUCATION PARK DRIVE,SCHNECKSVILLE,PA,18078,,,
E02177,PCI HEALTH TRAINING CENTER - RICHARDSON,1300 INTERN/ATION/AL PARKWAY,RICHARDSON,TX,75081,,,
001287,SANTA ROSA JUNIOR COLLEGE,1501 MENDOCINO AVENUE,SANTA ROSA,CA,95401,,,
001633,AUGUSTANA COLLEGE,639 38TH ST,ROCK ISLAND,IL,61201,,,
002323,UNIVERSITY OF DETROIT MERCY,4001 WEST MCNICHOLS ROAD,DETROIT,MI,48221,,,
E40437,FAIRLEIGH DICKINSON UNIVERSITY - VANCOUV,842 CAMBIE STREET,VANCOUVER,CN,0,"VANCOUVER, BC",CAN/ADA,V6B2P6
003244,CHATHAM UNIVERSITY,107 WOODLAND ROAD,PITTSBURGH,PA,15232,,,
003623,ST. MARY'S UNIVERSITY,ONE CAMINO SANTA MARIA,SAN ANTONIO,TX,78228,,,
014682,SOWELA TECHNICAL COMMUNITY COLLEGE - MOR,2110 NORTH SHERMAN STREET,JENNINGS,LA,70546,,,
006811,LUZERNE COUNTY COMMUNITY COLLEGE,521 TRAILBLAZER DRIVE,N/ANTICOKE,PA,18634,,,
016024,TEXAS TECH U HEALTH SCIENCES CENTER,3601 4TH STREET,LUBBOCK,TX,79430,,,
030199,CAPSTONE COLLEGE,1200 NORTH FAIR OAKS AVENUE,PASADEN/A,CA,91103,,,
G01288,CLAREMONT SCHOOL OF THEOLOGY,10497 WILSHIRE BOULEVARD,LOS ANGELES,CA,90024,,,
007735,ALTIERUS CAREER COLLEGE,3319 WEST HILLSBOROUGH AVENUE,TAMPA,FL,33614,,,
001569,GEORGIA INSTITUTE OF TECHNOLOGY,225 NORTH AVE-FIN/ANCIAL AID,ATLANTA,GA,30332,,,
009464,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY,1233 EAST COLLEGE STREET,PULASKI,TN,38478,,,
030224,COLLEGE OF THE MARSHALL ISLANDS,OCEANSIDE ULIGA - PO BOX 1258,MAJURO,MH,0,,MICRONESIA,
030237,MADISON ADULT CAREER CENTER,600 ESLEY LANE,MANSFIELD,OH,44905,,,
030250,TEXAS COLLEGE OF COSMETOLOGY,117 SAYLES BOULEVARD,ABILENE,TX,79605,,,
031047,TEXAS COLLEGE OF COSMETOLOGY - SAN ANGEL,3504 KNICKERBOCKER ROAD,SAN ANGELO,TX,76904,,,
001634,AURORA UNIVERSITY,347 S GLADSTONE AVE,AURORA,IL,60506,,,
002057,ALLEGANY COLLEGE OF MARYLAND,12401 WILLOW BROOK ROAD SOUTHEAST,CUMBERLAND,MD,21502,,,
002798,PRATT INSTITUTE,200 WILLOUGHBY AVENUE,BROOKLYN,NY,11205,,,
002957,QUEENS UNIVERSITY OF CHARLOTTE,1900 SELWYN AVE,CHARLOTTE,NC,28274,,,
E40561,TEXAS COLLEGE OF COSMETOLOGY - LUBBOCK,"3602 SLIDE ROAD, SUITE B-18",LUBBOCK,TX,79414,,,
030255,MECH TECH COLLEGE,NO. 39-40 B STREET,CAGUAS,PR,725,,,
E00673,REMINGTON COLLEGE - HOUSTON CAMPUS - FT.,5555 RUFE SNOW DRIVE,NORTH RICHLAND HILLS,TX,76180,,,
030272,BLADES SCHOOL OF HAIR DESIGN,"22576-316 MACARTHUR BLVD,BOX 226",CALIFORNIA,MD,20619,,,
030273,BLALOCK'S PROFESSIONAL BEAUTY COLLEGE,7460 YOUREE DRIVE,SHREVEPORT,LA,71105,,,
030274,AVALON INSTITUTE,2231 SOUTH PEORIA,AURORA,CO,80014,,,
030277,PACIFIC COLLEGE OF HEALTH AND SCIENCE,7445 MISSION VALLEY ROAD,SAN DIEGO,CA,92108,,,
E00911,PACIFIC COLLEGE OF ORIENTAL MEDICINE - N,110 WILLIAM ST,NEW YORK,NY,10038,,,
E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,230 WEST MONROE STREET,CHICAGO,IL,60606,,,
001289,SHASTA COLLEGE,11555 OLD OREGON TRAIL,REDDING,CA,96049,,,
004603,SOUTHEASTERN COMMUNITY COLLEGE,1500 WEST AGENCY ROAD,WEST BURLINGTON,IA,52655,,,
002880,ULSTER COUNTY COMMUNITY COLLEGE,COTTEKILL ROAD,STONE RIDGE,NY,12484,,,
003247,MISERICORDIA  UNIVERSITY,301 LAKE STREET,DALLAS,PA,18612,,,
015995,SOWELA TECHNICAL COMMUNITY COLLEGE - LAM,15014 LAKE CHARLES HIGHWAY,LEESVILLE,LA,71446,,,
030282,TRINITY COLLEGE OF FLORIDA,2430 WELBILT BOULEVARD,TRINITY,FL,34655,,,
G30294,KEELE UNIVERSITY,**,KEELE,FC,0,STAFFORDSHIRE,ENGLAND,ST5 5BG
G30295,NORTHUMBRIA UNIVERSITY,ELLISON BLDG ELLISON PL,NEWCASTLE UPON TYNE,FC,0,,ENGLAND,NE1 8ST
015017,POMONA ADULT SCHOOL,1444 EAST HOLT AVENUE,POMON/A,CA,91767,,,
030297,"UNIVERSAL TECHNOLOGY CLG OF PR, INC",#111 COMERCIO STREET,"AGUADILLA, PR",PR,603,,,
030300,OGEECHEE TECHNICAL COLLEGE,ONE JOSEPH E. KENNEDY BOULEVARD,STATESBORO,GA,30458,,,
001636,SOUTHWESTERN ILLINOIS COLLEGE,2500 CARLYLE AVENUE,BELLEVILLE,IL,62221,,,
002058,ANNE ARUNDEL COMMUNITY COLLEGE,101 COLLEGE PARKWAY,ARNOLD,MD,21012,,,
030309,DIESEL DRIVING ACADEMY,8067 AIRLINE HIGHWAY,BATON ROUGE,LA,70815,,,
030323,SCHOOL OF AUTOMOTIVE MACHINISTS & TECHNO,1911 ANTOINE,HOUSTON,TX,77055,,,
G30324,KC'S SCHOOL OF HAIR DESIGN,280 TURNPIKE RD,PONTOTOC,MS,38863,,,
015746,NORTHERN MARIANAS COLLEGE,POST OFFICE BOX 501250,SAIPAN,MP,96950,,,
030342,WASHINGTON COUNTY CAREER CENTER ADULT TE,21740 STATE ROUTE 676,MARIETTA,OH,45750,,,
002501,SOUTHEAST MISSOURI STATE UNIV,ONE UNIVERSITY PLAZA,CAPE GIRARDEAU,MO,63701,,,
002692,CUNY BRONX COMMUNITY COLLEGE,2155 UNIVERSITY AVENUE,BRONX,NY,10453,,,
002958,ROCKINGHAM COMMUNITY COLLEGE,HIGHWAY 65,WENTWORTH,NC,27375,,,
003249,COMMUNITY COLLEGE OF PHILADELPHIA,1700 SPRING GARDEN STREET,PHILADELPHIA,PA,19130,,,
003425,CLEMSON UNIVERSITY,G-01 SIKES HALL,CLEMSON,SC,29634,,,
003732,RADFORD UNIVERSITY,P.O. BOX 6905,RADFORD,VA,24142,,,
030344,CONSERVATORY RECORDING ARTS & SCIS,2300 E. BROADWAY,TEMPE,AZ,85282,,,
030345,OWENSBORO COMMUNITY & TECHNICAL COLLEGE,4800 NEW HARTFORD ROAD,OWENSBORO,KY,42303,,,
E00820,SOUTHERN CAREERS INSTITUTE - CORPUS CHRI,2422 AIRLINE ROAD,CORPUS CHRISTI,TX,78414,,,
E00821,SOUTHERN CAREERS INSTITUTE - SAN ANTONIO,238 SOUTHWEST MILITARY DRIVE,SAN ANTONIO,TX,78221,,,
E01688,SOUTHERN CAREERS INSTITUTE - BROWNSVILLE,935 NORTH EXPRESSWAY,BROWNSVILLE,TX,78520,,,
G01637,BETHANY THEOLOGICAL SEMINARY,615 N/ATION/AL ROAD WEST,RICHMOND,IN,47374,,,
001748,ROCKFORD UNIVERSITY,5050 E STATE ST,ROCKFORD,IL,61108,,,
002409,ITAWAMBA COMMUNITY COLLEGE,602 WEST HILL STREET,FULTON,MS,38843,,,
003624,STEPHEN F AUSTIN STATE UNIVERSITY,1936 NORTH STREET,N/ACOGDOCHES,TX,75962,,,
003966,BOSTON ARCHITECTURAL COLLEGE,320 NEWBURY STREET,BOSTON,MA,2115,,,
E01689,SOUTHERN CAREERS INSTITUTE - HARLINGEN,1122 MORGAN BOULEVARD,HARLINGEN,TX,78550,,,
E02174,SOUTHERN CAREERS INSTITUTE - SAN ANTONIO,6963 NORTH WEST LOOP 410,SAN ANTONIO,TX,78238,,,
E40485,SOUTHERN CAREERS INSTITUTE - WACO,3700 SOUTH IH-35,WACO,TX,76706,,,
030357,LAS POSITAS COLLEGE,3000 CAMPUS HILL DRIVE,LIVERMORE,CA,94551,,,
030359,NATIONAL AVIATION ACADEMY,6225 ULMERTON ROAD,CLEARWATER,FL,33760,,,
002960,SALEM COLLEGE,SALEM STATION,WINSTON-SALEM,NC,27108,,,
003626,TARRANT COUNTY COLLEGE,300 TRINITY CAMPUS CIRCLE,FORT WORTH,TX,76102,,,
004743,CLOVIS COMMUNITY COLLEGE,417 SCHEPPS BOULEVARD,CLOVIS,NM,88101,,,
016626,GREATER JOHNSTOWN AREA VOC TECH SCH,445 SCHOOLHOUSE RD,JOHNSTOWN,PA,15904,,,
030375,HODGES UNIVERSITY,4501 COLONIAL BOULEVARD,FORT MYERS,FL,33966,,,
001749,ROOSEVELT UNIVERSITY,430 SOUTH MICHIGAN AVENUE,CHICAGO,IL,60605,,,
002151,BENJAMIN FRANKLIN INSTITUTE OF TECH,41 BERKELEY ST,BOSTON,MA,2116,,,
002410,JACKSON STATE UNIVERSITY,1325 J R LYNCH ST,JACKSON,MS,39217,,,
002961,SANDHILLS COMMUNITY COLLEGE,3395 AIRPORT ROAD,PINEHURST,NC,28374,,,
003627,TEMPLE COLLEGE,2600 SOUTH FIRST,TEMPLE,TX,76504,,,
003969,UNIVERSITY OF MINNESOTA-TWIN CITIES,202 MORRILL HALL,MINNEAPOLIS,MN,55455,,,
004759,"CUNY, YORK COLLEGE",94 20 GUY R BREWER BLVD,JAMAICA,NY,11451,,,
008988,LURLEEN B WALLACE COMMUNITY COLLEGE,P O DRAWER 1418 HWY 84 EAST,ANDALUSIA,AL,36420,,,
030399,FREMONT UNIVERSITY,18000 STUDEBAKER ROAD,CERRITOS,CA,90703,,,
001370,UNIVERSITY OF COLORADO-BOULDER,REGENT ADMINSTRATIVE CENTER 175,BOULDER,CO,80309,,,
002061,BALTIMORE CITY COMMUNITY COLLEGE,2901 LIBERTY HGTS AVE,BALTIMORE,MD,21215,,,
002803,RENSSELAER POLYTECHNIC INSTITUTE,FIN/ANCIAL AID OFFICE 110 8TH ST,TROY,NY,12180,,,
004452,MONTGOMERY COUNTY COMMUNITY COLLEGE,340 DEKALB PIKE,BLUE BELL,PA,19422,,,
007578,HUNTINGTON SCHOOL OF BEAUTY CULTURE,5636 U.S. ROUTE 60 EAST,HUNTINGTON,WV,25705,,,
010684,ERIE COMMUNITY COLLEGE-ALL CAMPUSES,121 ELLICOTT STREET,BUFFALO,NY,14203,,,
001371,UNIVERSITY OF DENVER,2199 SOUTH UNIVERSITY BLVD,DENVER,CO,80208,,,
002062,BOWIE STATE UNIVERSITY,14000 JERICHO PARK ROAD,BOWIE,MD,20715,,,
002502,SOUTHWEST BAPTIST UNIVERSITY,1600 UNIVERSITY AVENUE,BOLIVAR,MO,65613,,,
003733,RANDOLPH-MACON COLLEGE,P.O. BOX 5005,ASHLAND,VA,23005,,,
030428,"VIRGINIA BEACH CITY SCHOOLS, SCH.-PR.NSG",2925 NORTH LANDING ROAD,VIRGINIA BEACH,VA,23456,,,
030431,THOMAS MORE COLLEGE OF LIBERAL ARTS,SIX MANCHESTER ST,MERRIMACK,NH,3054,,,
030439,NEWSCHOOL OF ARCHITECTURE & DESIGN,600 B STREET,SAN DIEGO,CA,92101,,,
001638,BLACK HAWK COLLEGE,6600 34TH AVENUE,MOLINE,IL,61265,,,
002153,GORDON COLLEGE,255 GRAPEVINE RD,WENHAM,MA,1984,,,
002962,SHAW UNIVERSITY,118 E SOUTH ST,RALEIGH,NC,27601,,,
003628,TEXARKANA COLLEGE,2500 NORTH ROBISON ROAD,TEXARKAN/A,TX,75599,,,
007582,AIMS COMMUNITY COLLEGE,5401 WEST 20TH STREET,GREELEY,CO,80634,,,
G09006,UNIVERSITY OF SALFORD (THE),"STUDENT ASSISTANCE, HUMPHREY BOOTH",SALFORD,FC,0,,ENGLAND,M5 4WT
G30450,UNIVERSITY OF EAST LONDON,ROMFORD ROAD,LONDON,FC,0,,ENGLAND,
001290,SIERRA COLLEGE,5100 SIERRA COLLEGE BOULEVARD,ROCKLIN,CA,95677,,,
002503,MISSOURI STATE UNIVERSITY,901 SOUTH N/ATION/AL,SPRINGFIELD,MO,65897,,,
003734,RANDOLPH COLLEGE,2500 RIVERMONT AVE,LYNCHBURG,VA,24503,,,
010010,AMERICAN SAMOA CMNTY COLLEGE,2609 MAPUSAGA ROAD,PAGO PAGO,AS,96799,,,
002865,ERIE COMMUNITY COLLEGE-NORTH CAMPUS,6205 MAIN ST,WILLIAMSVILLE,NY,14221,,,
001193,CYPRESS COLLEGE,9200 VALLEY VIEW,CYPRESS,CA,90630,,,
001571,GEORGIA MILITARY COLLEGE,201 EAST GREENE STREET,MILLEDGEVILLE,GA,31061,,,
002063,COMMUNITY COLLEGE OF BALTIMORE COUNTY,800 S ROLLING RD,CATONSVILLE,MD,21228,,,
002693,CUNY-JOHN JAY CLG CRIMINAL JUSTICE,445 WEST 59TH STREET,NEW YORK,NY,10019,,,
003078,WRIGHT STATE UNIVERSITY,3640 COLONEL GLENN HIGHWAY,DAYTON,OH,45435,,,
003251,CURTIS INSTITUTE OF MUSIC,1726 LOCUST ST,PHILADELPHIA,PA,19103,,,
003509,UNIVERSITY OF MEMPHIS (THE),SOUTHERN AVENUE,MEMPHIS,TN,38152,,,
004453,DALLAS COLLEGE - EL CENTRO,801 MAIN STREET,DALLAS,TX,75202,,,
009479,SAINT VINCENTS CMC SI NURSING SCHOOL,"2 TELEPORT DRIVE, SUITE 203",STATEN ISLAND,NY,10311,,,
001500,BROWARD COLLEGE- DOWNTOWN CTR,225 EAST LAS OLAS BLVD,FORT LAUDERDALE,FL,33301,,,
003812,FAIRMONT STATE UNIVERSITY,1201 LOCUST AVENUE,FAIRMONT,WV,26554,,,
006815,ORANGEBURG-CALHOUN TECHNICAL COLG,3250 SAINT MATTHEWS ROAD,ORANGEBURG,SC,29118,,,
030511,CHISHOLM TRAIL TECHNOLOGY CENTER,283 STATE HIGHWAY 33,OMEGA,OK,73764,,,
030514,AUBURN CAREER CENTER,8140 AUBURN RD,CONCORD TOWNSHIP,OH,44077,,,
030515,BROWN & CLERMONT ADULT CAREER CAMPUSES,718 WEST PLANE STREET,BETHEL,OH,45106,,,
B08041,ADLER GRADUATE SCHOOL,1550 E 78TH ST,RICHFIELD,MN,55423,,,
030523,KENNETH SHULER SCH COSM & HAIR DESG,736 EAST MARTINTOWN RD,NORTH AUGUSTA,SC,29841,,,
E40441,KENNETH SHULER SCHOOL OF COSMETOLOGY & H,2443 WEST LUCAS STREET,FLORENCE,SC,29501,,,
001019,HUNTINGDON COLLEGE,1500 EAST FAIRVIEW AVENUE,MONTGOMERY,AL,36106,,,
001291,SIMPSON UNIVERSITY,2211 COLLEGE VIEW DR,REDDING,CA,96003,,,
002325,UNIVERSITY OF MICHIGAN - ANN ARBOR,3190 RUTHVEN BUILDING,ANN ARBOR,MI,48109,,,
002694,KINGSBOROUGH COMMUNITY COLLEGE,2001 ORIENTAL BOULEVARD,BROOKLYN,NY,11235,,,
004765,CUNY GRADUATE SCH & UNIV CTR,365 FIFTH AVENUE,NEW YORK,NY,10016,,,
007228,UNIVERSITY OF PUERTO RICO - ARECIBO,"STREET NUMBER 653, ROUTE 128, KM.8",ARECIBO,PR,614,,,
G10692,THE UNIVERSITY OF QUEENSLAND,SAINT LUCIA,BRISBANE,FC,0,QUEENSLAND,AUSTRALIA,4072
001020,JACKSONVILLE STATE UNIVERSITY,700 PELHAM RD NORTH  FINCL.AID,JACKSONVILLE,AL,36265,,,
001639,BLACKBURN COLLEGE,700 COLLEGE AVENUE,CARLINVILLE,IL,62626,,,
002411,JONES COUNTY JUNIOR COLLEGE,900 SOUTH COURT STREET,ELLISVILLE,MS,39437,,,
006819,BLUE RIDGE COMMUNITY COLLEGE,1 COLLEGE LANE,WEYERS CAVE,VA,24486,,,
009010,MADISONVILLE COMMUNITY COLLEGE,2000 COLLEGE DRIVE,MADISONVILLE,KY,42431,,,
010695,TRI COUNTY BEAUTY ACADEMY,219 NORTH STATE STREET,LITCHFIELD,IL,62056,,,
001640,PRAIRIE STATE COLLEGE,202 SOUTH HALSTED,CHICAGO HEIGHTS,IL,60411,,,
002154,HELLENIC COLLEGE,50 GODDARD AVENUE,BROOKLINE,MA,2445,,,
E01127,RENSSELAER POLYTECHNIC INSTITUTE-RENSSEL,275 WINDSOR STREET,HARTFORD,CT,6120,,,
006136,NATIONAL AVIATION ACADEMY - NEW ENGLAND,150 HANSCOM DRIVE,BEDFORD,MA,1730,,,
008200,UPMC JAMESON SCHOOL OF NURSING,2414 WILMINGTON ROAD,NEW CASTLE,PA,16105,,,
030611,GENESIS CAREER COLLEGE,1505 NOAH COURT,LEBANON,TN,37087,,,
001750,DOMINICAN UNIVERSITY,7900 WEST DIVISION STREET,RIVER FOREST,IL,60305,,,
001940,SOUTHWESTERN COLLEGE,100 COLLEGE STREET,WINFIELD,KS,67156,,,
006165,LA CNTY CLG OF NURSING & ALLD HLTH,1237 NORTH MISSION ROAD,LOS ANGELES,CA,90033,,,
030612,MIDWEST COLLEGE OF ACUPUNCTURE & HERBAL,6232 BANKERS ROAD,RACINE,WI,53403,,,
030624,MT DIABLO ADULT EDUC LOMA VISTA CTR,1266 SAN CARLOS,CONCORD,CA,94518,,,
030627,PLATT COLLEGE,1000 SOUTH FREMONT AVENUE,ALHAMBRA,CA,91803,,,
E00914,PLATT COLLEGE,3700 INLAND EMPIRE BOULEVARD,ONTARIO,CA,91764,,,
E02133,PLATT COLLEGE - RIVERSIDE,6465 SYCAMORE CANYON BOULEVARD,RIVERSIDE,CA,92507,,,
030633,NORTHWEST ARKANSAS COMMUNITY COLLEG,ONE COLLEGE DRIVE,BENTONVILLE,AR,72712,,,
030634,MODERN TECHNOLOGY SCHOOL,16560 HARBOR BOULEVARD,FOUNTAIN VALLEY,CA,92708,,,
001943,UNIVERSITY OF ST MARY,4100 SOUTH 4TH STREET TRAFFICWAY,LEAVENWORTH,KS,66048,,,
002233,WORCESTER POLYTECHNIC INSTITUTE,100 INSTITUTE ROAD,WORCESTER,MA,1609,,,
003083,UNIVERSITY OF MOUNT UNION,1972 CLARK AVE,ALLIANCE,OH,44601,,,
003510,MIDDLE TENNESSEE STATE UNIV,EAST MAIN STREET,MURFREESBORO,TN,37130,,,
004776,CENTRAL YESHIVA TOMCHEI TMIMIM LUBAVITZ,885 EASTERN PARKWAY,BROOKLYN,NY,11213,,,
010340,LOS MEDANOS COLLEGE,2700 EAST LELAND ROAD,PITTSBURG,CA,94565,,,
030646,TEXAS SOUTHMOST COLLEGE,80 FORT BROWN,BROWNSVILLE,TX,78520,,,
030650,PAUL MITCHELL THE SCHOOL RICHLAND,71 GAGE BOULEVARD,RICHLAND,WA,99352,,,
030653,PAUL MITCHELL THE SCHOOL TINLEY PARK,18454 WEST CREEK DRIVE,TINLEY PARK,IL,60477,,,
E00398,UNIVERSITY OF MICHIGAN - ANN ARBOR - SCH,1301 CATHERINE,ANN ARBOR,MI,48109,,,
002696,NY CITY COLLEGE OF TECHNOLOGY-CUNY,300 JAY STREET,BROOKLYN,NY,11201,,,
G02963,SOUTHEASTERN BAPTIST THEOLOGICAL SEMINAR,120 S. WINGATE STREET,WAKE FOREST,NC,27587,,,
003511,MILLIGAN UNIVERSITY,ONE BLOWERS BOULEVARD,MILLIGAN,TN,37682,,,
003813,GLENVILLE STATE COLLEGE,200 HIGH STREET,GLENVILLE,WV,26351,,,
004480,DE ANZA COLLEGE,21250 STEVENS CREEK BOULEVARD,CUPERTINO,CA,95014,,,
E40518,PAUL MITCHELL THE SCHOOL BRADLEY,1600 N STATE RT. 50 ROOM 522,BOURBONN/AIS,IL,60914,,,
030659,BUCKEYE CAREER CENTER,545 UNIVERSITY DR  NE,NEW PHILADELPHIA,OH,44663,,,
030663,BRYAN UNIVERSITY,4255 N/ATURE CENTER WAY,SPRINGFIELD,MO,65804,,,
030665,SOUTHEASTERN TECHNICAL COLLEGE,3001 E FIRST ST,VIDALIA,GA,30474,,,
030666,BAY MILLS COMMUNITY COLLEGE,12214 W LAKESHORE DRIVE,BRIMLEY,MI,49715,,,
030669,INTELLITEC COLLEGE,772 HORIZON DR,GRAND JUNCTION,CO,81506,,,
001945,STERLING COLLEGE,125 WEST COOPER,STERLING,KS,67579,,,
002234,ADRIAN COLLEGE,110 S MADISON ST,ADRIAN,MI,49221,,,
002964,SOUTHEASTERN COMMUNITY COLLEGE,4564 CHADBOURN HIGHWAY,WHITEVILLE,NC,28472,,,
003164,OKLAHOMA BAPTIST UNIVERSITY,500 WEST UNIVERSITY,SHAWNEE,OK,74801,,,
G09501,UNIVERSITY OF KING'S COLLEGE,6350 COBURG ROAD,HALIFAX,CN,0,,CAN/ADA,
030674,BALDWIN PARK ADULT SCHOOL,4640 MAINE AVE,BALDWIN PARK,CA,91706,,,
030675,INSTITUTE OF TECHNOLOGY,564 W HERNDON,CLOVIS,CA,93612,,,
E00985,OHIO MEDIA SCHOOL - COLORADO MEDIA SCHL,1310 WADSWORTH BOULEVARD,LAKEWOOD,CO,80214,,,
E01629,OHIO MEDIA SCHOOL - COLUMBUS CAMPUS,5330 EAST MAIN STREET,COLUMBUS,OH,43213,,,
030686,SPECIAL SCHOOL DISTRICT OF ST. LOUIS CO.,ADULT EDUCATION,SUNSET HILLS,MO,63127,,,
030709,SE MO HOSP CLG NURSING & HEALTH SCI,2001 WILLIAM STREET,CAPE GIRARDEAU,MO,63703,,,
001292,SOLANO COMMUNITY COLLEGE,4000 SUISUN VALLEY ROAD,FAIRFIELD,CA,94534,,,
001752,SAUK VALLEY COMMUNITY COLLEGE,173 ILLINOIS,DIXON,IL,61021,,,
003426,UNIV OF SC AT SUMTER,200 MILLER RD,SUMTER,SC,29150,,,
006551,ST MARGARET SCHL OF NURSING,221 SEVENTH STREET,PITTSBURGH,PA,15238,,,
E00729,LINCOLN COLLEGE OF TECHNOLOGY - LINCOLN,70 MCKEE DRIVE,MAHWAH,NJ,7430,,,
G09503,MOUNT ALLISON UNIVERSITY,65 YORK STREET,SACKVILLE,CN,0,,CAN/ADA,
010014,GARRETT COMMUNITY COLLEGE,687 MOSSER RD,MCHENRY,MD,21541,,,
030719,MOUNT CARMEL COLLEGE OF NURSING,127 S DAVIS AVE,COLUMBUS,OH,43222,,,
030722,CHANDLER-GILBERT COMMUNITY COLLEGE,2626 EAST PECOS ROAD,CHANDLER,AZ,85225,,,
G30738,UNIVERSITY OF DEBRECEN,EGYETEM TER 1.,DEBRECEN,FC,0,,HUNGARY,H-4032
E00691,UNIVERSITY OF MICHIGAN-ANN ARBOR - SCHOO,1011 NORTH UNIVERSITY AVENUE,ANN ARBOR,MI,48104,,,
E00506,UNIVERSITY OF MICHIGAN - ANN ARBOR - SCH,324 HUTCHINS,ANN ARBOR,MI,48109,,,
003165,OKLAHOMA CHRISTIAN UNIVERSITY,2501 EAST MEMORIAL ROAD,OKLAHOMA CITY,OK,73131,,,
013988,ASSOCIATED TECHNICAL COLLEGE,3470 WILSHIRE BOULEVARD,LOS ANGELES,CA,90010,,,
030745,EAST-WEST COLLEGE OF THE HEALING ARTS,"1515 SOUTHWEST 5TH AVENUE, SUITE 40",PORTLAND,OR,97232,,,
030752,TWIN CITY BEAUTY COLLEGE,2600 LINCOLN AVENUE,ST JOSEPH,MI,49085,,,
030756,EMMA'S BEAUTY ACADEMY,101 CARR. 592,JUAN/A DIAZ,PR,795,,,
030761,SOUTHWESTERN COLLEGE,3960  SAN FELIPE,SANTA FE,NM,87507,,,
030763,BEULAH HEIGHTS BIBLE COLLEGE,892 BERNE STREET SOUTHEAST,ATLANTA,GA,30316,,,
001372,WESTERN COLORADO UNIVERSITY,1 WESTERN WAY,GUNNISON,CO,81231,,,
002235,ALBION COLLEGE,611 E. PORTER STREET,ALBION,MI,49224,,,
002326,UNIVERSITY OF MICHIGAN-DEARBORN,4901 EVERGREEN ROAD,DEARBORN,MI,48128,,,
